| S.No | Skip List Time | Set Time | Closeness (%) |
| 461  | 0.002196       | 0.001893 | 86.191309     |
| 462  | 0.002327       | 0.001981 | 85.131852     |
| 463  | 0.002101       | 0.002179 | 96.408498     |
| 464  | 0.002034       | 0.002286 | 88.978262     |
| 465  | 0.002481       | 0.002010 | 81.021012     |
| 466  | 0.002208       | 0.002212 | 99.821717     |
| 467  | 0.002243       | 0.002359 | 95.071442     |
| 468  | 0.002396       | 0.001913 | 79.845262     |
| 469  | 0.002113       | 0.001940 | 91.808280     |
| 470  | 0.002412       | 0.001851 | 76.739609     |
| 471  | 0.002069       | 0.001869 | 90.354179     |
| 472  | 0.002295       | 0.002049 | 89.263706     |
| 473  | 0.002162       | 0.002709 | 79.810815     |
| 474  | 0.002212       | 0.001984 | 89.699103     |
| 475  | 0.002520       | 0.001935 | 76.793534     |
| 476  | 0.002544       | 0.002130 | 83.733469     |
| 477  | 0.002166       | 0.001886 | 87.071084     |
| 478  | 0.002115       | 0.001883 | 89.041295     |
| 479  | 0.002120       | 0.002156 | 98.326159     |
| 480  | 0.002411       | 0.001905 | 79.018682     |
| 481  | 0.002133       | 0.002296 | 92.904240     |
| 482  | 0.002481       | 0.002015 | 81.207792     |
| 483  | 0.002133       | 0.002308 | 92.421154     |
| 484  | 0.002211       | 0.002241 | 98.661384     |
| 485  | 0.002085       | 0.001944 | 93.242293     |
| 486  | 0.002143       | 0.001937 | 90.371751     |
| 487  | 0.002313       | 0.001972 | 85.267500     |
| 488  | 0.002408       | 0.002219 | 92.148576     |
| 489  | 0.002034       | 0.001887 | 92.769276     |
| 490  | 0.002090       | 0.001903 | 91.052529     |
| 491  | 0.002024       | 0.001910 | 94.354178     |
| 492  | 0.002156       | 0.001998 | 92.690252     |
| 493  | 0.002017       | 0.002000 | 99.117893     |
| 494  | 0.002632       | 0.002047 | 77.783102     |
| 495  | 0.002301       | 0.002152 | 93.559895     |
| 496  | 0.002082       | 0.001939 | 93.166641     |
